locus_tag	ftype	length_bp	gene	EC_number	COG	product
IDBKNKLP_00056	CDS	1281				hypothetical protein
IDBKNKLP_00057	CDS	855			COG1073	putative protein
IDBKNKLP_00058	CDS	804	suhB	3.1.3.25	COG0483	Inositol-1-monophosphatase
IDBKNKLP_00059	CDS	741	trmJ	2.1.1.200	COG0565	tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ
IDBKNKLP_00060	CDS	489	iscR		COG1959	HTH-type transcriptional regulator IscR
IDBKNKLP_00061	CDS	1215	iscS	2.8.1.7	COG1104	Cysteine desulfurase IscS
IDBKNKLP_00062	CDS	387	iscU		COG0822	Iron-sulfur cluster assembly scaffold protein IscU
IDBKNKLP_00063	CDS	324	iscA		COG0316	Iron-binding protein IscA
IDBKNKLP_00064	CDS	516	hscB		COG1076	Co-chaperone protein HscB
IDBKNKLP_00065	CDS	1851	hscA		COG0443	Chaperone protein HscA
IDBKNKLP_00066	CDS	336	fdx		COG0633	2Fe-2S ferredoxin
IDBKNKLP_00067	CDS	201	iscX		COG2975	Protein IscX
IDBKNKLP_00068	CDS	1284	pepB	3.4.11.23	COG0260	Peptidase B
IDBKNKLP_00069	CDS	777				hypothetical protein
IDBKNKLP_00070	CDS	846	sseA	2.8.1.2	COG2897	3-mercaptopyruvate sulfurtransferase
IDBKNKLP_00071	CDS	4962	yfhM		COG2373	Alpha-2-macroglobulin
IDBKNKLP_00072	CDS	2274	pbpC		COG4953	Penicillin-binding protein 1C
IDBKNKLP_00073	CDS	432	ndk	2.7.4.6	COG0105	Nucleoside diphosphate kinase
IDBKNKLP_00074	CDS	1155	rlmN	2.1.1.192	COG0820	Dual-specificity RNA methyltransferase RlmN
IDBKNKLP_00075	CDS	1014	rodZ		COG1426	Cytoskeleton protein RodZ
IDBKNKLP_00076	CDS	1119	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
IDBKNKLP_00077	CDS	1275	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
IDBKNKLP_00078	CDS	621				hypothetical protein
IDBKNKLP_00079	CDS	1179	bamB		COG1520	Outer membrane protein assembly factor BamB
IDBKNKLP_00080	CDS	1473	der		COG1160	GTPase Der
IDBKNKLP_00081	CDS	216	yfgJ			putative protein YfgJ
IDBKNKLP_00082	CDS	1371	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
IDBKNKLP_00083	CDS	1467	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
IDBKNKLP_00084	CDS	1578	guaA	6.3.5.2	COG0518	GMP synthase [glutamine-hydrolyzing]
IDBKNKLP_00085	CDS	540				hypothetical protein
IDBKNKLP_00086	CDS	516				hypothetical protein
IDBKNKLP_00087	CDS	174	yfgG			Protein YfgG
IDBKNKLP_00088	CDS	153				hypothetical protein
IDBKNKLP_00089	CDS	2244	pdeF	3.1.4.52		Cyclic di-GMP phosphodiesterase PdeF
IDBKNKLP_00090	CDS	1542	ppx	3.6.1.11	COG0248	Exopolyphosphatase
IDBKNKLP_00091	CDS	2067	ppk	2.7.4.1	COG0855	Polyphosphate kinase
IDBKNKLP_00092	CDS	639	purN	2.1.2.2	COG0299	Phosphoribosylglycinamide formyltransferase
IDBKNKLP_00093	CDS	1038	purM	6.3.3.1	COG0150	Phosphoribosylformylglycinamidine cyclo-ligase
IDBKNKLP_00094	CDS	627	upp	2.4.2.9	COG0035	Uracil phosphoribosyltransferase
IDBKNKLP_00095	CDS	1290	uraA		COG2233	Uracil permease
IDBKNKLP_00096	CDS	747	hda		COG0593	DnaA regulatory inactivator Hda
IDBKNKLP_00097	CDS	360	yfgD		COG1393	putative protein YfgD
IDBKNKLP_00098	CDS	1464	bepA	3.4.-.-	COG4783	Beta-barrel assembly-enhancing protease
IDBKNKLP_00099	CDS	1062	yhhT_1		COG0628	Putative transport protein YhhT
IDBKNKLP_00100	CDS	849	focB		COG2116	putative formate transporter 2
IDBKNKLP_00101	CDS	2013	hyfR		COG3604	DNA-binding transcriptional activator HyfR
IDBKNKLP_00102	CDS	414				hypothetical protein
IDBKNKLP_00103	CDS	759	hycG_1		COG3260	Formate hydrogenlyase subunit 7
IDBKNKLP_00104	CDS	540	ndhI_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit I, chloroplastic
IDBKNKLP_00105	CDS	1668	hyfG	1.-.-.-	COG3261	Hydrogenase-4 component G
IDBKNKLP_00106	CDS	1581	ndhB_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
IDBKNKLP_00107	CDS	651	hyfE	1.-.-.-	COG4237	Hydrogenase-4 component E
IDBKNKLP_00108	CDS	1350	ndhB_2	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
IDBKNKLP_00109	CDS	111				hypothetical protein
IDBKNKLP_00110	CDS	720	hyfC	1.-.-.-	COG0650	Hydrogenase-4 component C
IDBKNKLP_00111	CDS	2019	hyfB	1.-.-.-	COG0651	Hydrogenase-4 component B
IDBKNKLP_00112	CDS	618	hyfA_1	1.-.-.-	COG1142	Hydrogenase-4 component A
IDBKNKLP_00113	CDS	471	bcp	1.11.1.15	COG1225	Peroxiredoxin Bcp
IDBKNKLP_00114	CDS	573	gcvR		COG2716	Glycine cleavage system transcriptional repressor
IDBKNKLP_00115	CDS	879	dapA	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
IDBKNKLP_00116	CDS	1035	bamC		COG3317	Outer membrane protein assembly factor BamC
IDBKNKLP_00117	CDS	231				hypothetical protein
IDBKNKLP_00118	CDS	714	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
IDBKNKLP_00119	CDS	864			COG2321	putative protein
IDBKNKLP_00120	CDS	2016	tmcA	2.3.1.193	COG1444	tRNA(Met) cytidine acetyltransferase TmcA
IDBKNKLP_00121	CDS	699				hypothetical protein
IDBKNKLP_00122	CDS	201				hypothetical protein
IDBKNKLP_00123	CDS	1128	dapE	3.5.1.18	COG0624	Succinyl-diaminopimelate desuccinylase
IDBKNKLP_00124	CDS	357	yffB		COG1393	Protein YffB
IDBKNKLP_00125	CDS	3114	acrB_1		COG0841	Multidrug efflux pump subunit AcrB
IDBKNKLP_00126	CDS	1701	narQ	2.7.13.3		Nitrate/nitrite sensor protein NarQ
IDBKNKLP_00127	CDS	1980		1.18.1.2		Ferredoxin--NADP reductase
IDBKNKLP_00128	CDS	576	nudK	3.6.1.-		GDP-mannose pyrophosphatase NudK
IDBKNKLP_00129	CDS	1044				hypothetical protein
IDBKNKLP_00130	CDS	2004	tktB	2.2.1.1	COG0021	Transketolase 2
IDBKNKLP_00131	CDS	951	tal_1	2.2.1.2		Transaldolase
IDBKNKLP_00132	CDS	2280	maeB	1.1.1.40	COG0280	NADP-dependent malic enzyme
IDBKNKLP_00133	CDS	336	eutS		COG4810	Ethanolamine utilization protein EutS
IDBKNKLP_00134	CDS	480	pduV		COG4917	Propanediol utilization protein PduV
IDBKNKLP_00135	CDS	702	eutQ		COG4766	Ethanolamine utilization protein EutQ
IDBKNKLP_00136	CDS	810				hypothetical protein
IDBKNKLP_00137	CDS	1017	eutD		COG0280	Ethanolamine utilization protein EutD
IDBKNKLP_00138	CDS	336	eutM		COG4577	Ethanolamine utilization protein EutM
IDBKNKLP_00139	CDS	288	eutN		COG4576	Ethanolamine utilization protein EutN
IDBKNKLP_00140	CDS	1404	proA_1	1.2.1.41		Gamma-glutamyl phosphate reductase
IDBKNKLP_00141	CDS	837	ftsA_1			Cell division protein FtsA
IDBKNKLP_00142	CDS	1188	mdh_1	1.1.1.244		NAD-dependent methanol dehydrogenase
IDBKNKLP_00143	CDS	1227				hypothetical protein
IDBKNKLP_00144	CDS	1404				hypothetical protein
IDBKNKLP_00145	CDS	1362	eutB	4.3.1.7	COG4303	Ethanolamine ammonia-lyase heavy chain
IDBKNKLP_00146	CDS	888	eutC	4.3.1.7	COG4302	Ethanolamine ammonia-lyase light chain
IDBKNKLP_00147	CDS	660	eutL		COG4816	Ethanolamine utilization protein EutL
IDBKNKLP_00148	CDS	501	eutK		COG4577	Ethanolamine utilization protein EutK
IDBKNKLP_00149	CDS	1053				hypothetical protein
IDBKNKLP_00150	CDS	900	hemF	1.3.3.3	COG0408	Oxygen-dependent coproporphyrinogen-III oxidase
IDBKNKLP_00151	CDS	870	amiA	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiA
IDBKNKLP_00152	CDS	426	ypeA	2.3.1.-	COG0456	Acetyltransferase YpeA
IDBKNKLP_00153	CDS	450	yfeZ			Inner membrane protein YfeZ
IDBKNKLP_00154	CDS	576	yfeY			putative protein YfeY
IDBKNKLP_00155	CDS	900	yfeX	1.11.1.-	COG2837	Dye-decolorizing peroxidase YfeX
IDBKNKLP_00156	CDS	1425	murP		COG2190	PTS system N-acetylmuramic acid-specific EIIBC component
IDBKNKLP_00157	CDS	897	murQ	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
IDBKNKLP_00158	CDS	858	murR_2		COG1737	HTH-type transcriptional regulator MurR
IDBKNKLP_00159	CDS	792	ucpA	1.-.-.-		Oxidoreductase UcpA
IDBKNKLP_00160	CDS	1017	cysP		COG4150	Thiosulfate-binding protein
IDBKNKLP_00161	CDS	834	cysT		COG0555	Sulfate transport system permease protein CysT
IDBKNKLP_00162	CDS	876	cysW		COG4208	Sulfate transport system permease protein CysW
IDBKNKLP_00163	CDS	1098	cysA	7.3.2.3	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
IDBKNKLP_00164	CDS	912	cysM	2.5.1.47	COG0031	Cysteine synthase B
IDBKNKLP_00165	CDS	735				hypothetical protein
IDBKNKLP_00166	CDS	375				hypothetical protein
IDBKNKLP_00167	CDS	852	pdxK	2.7.1.35	COG2240	Pyridoxine/pyridoxal/pyridoxamine kinase
IDBKNKLP_00168	CDS	510	crr		COG2190	PTS system glucose-specific EIIA component
IDBKNKLP_00169	CDS	1728	ptsI	2.7.3.9	COG1080	Phosphoenolpyruvate-protein phosphotransferase
IDBKNKLP_00170	CDS	258	ptsH		COG1925	Phosphocarrier protein HPr
IDBKNKLP_00171	CDS	972	cysK	2.5.1.47	COG0031	Cysteine synthase A
IDBKNKLP_00172	CDS	762	cysZ		COG2981	Sulfate transporter CysZ
IDBKNKLP_00173	CDS	987	zipA		COG3115	Cell division protein ZipA
IDBKNKLP_00174	CDS	2016	ligA	6.5.1.2	COG0272	DNA ligase
IDBKNKLP_00175	CDS	219				hypothetical protein
IDBKNKLP_00176	CDS	999				hypothetical protein
IDBKNKLP_00177	CDS	927	cynR_1			HTH-type transcriptional regulator CynR
IDBKNKLP_00178	CDS	342				hypothetical protein
IDBKNKLP_00179	tRNA	76				tRNA-Lys(ttt)
IDBKNKLP_00180	tRNA	76				tRNA-Val(tac)
IDBKNKLP_00181	tRNA	76				tRNA-Val(tac)
IDBKNKLP_00182	CDS	1416	gltX	6.1.1.17	COG0008	Glutamate--tRNA ligase
IDBKNKLP_00183	CDS	372				hypothetical protein
IDBKNKLP_00184	CDS	360				hypothetical protein
IDBKNKLP_00185	tRNA	76				tRNA-Ala(ggc)
IDBKNKLP_00186	tRNA	76				tRNA-Ala(ggc)
IDBKNKLP_00187	CDS	2190	pdeA	3.1.4.52		putative cyclic di-GMP phosphodiesterase PdeA
IDBKNKLP_00188	CDS	1203	nupC		COG1972	Nucleoside permease NupC
IDBKNKLP_00189	CDS	1239	mntH		COG1914	Divalent metal cation transporter MntH
IDBKNKLP_00190	CDS	327				hypothetical protein
IDBKNKLP_00191	CDS	1257	yfeO			Putative ion-transport protein YfeO
IDBKNKLP_00192	CDS	966	glk	2.7.1.2	COG0837	Glucokinase
IDBKNKLP_00193	CDS	327	fryB_1	2.7.1.202	COG1445	PTS system fructose-like EIIB component 1
IDBKNKLP_00194	CDS	1248	fryC		COG1299	Fructose-like permease IIC component 1
IDBKNKLP_00195	CDS	1086	ypdF	3.4.11.-	COG0006	Aminopeptidase YpdF
IDBKNKLP_00196	CDS	1038	ypdE	3.4.11.-	COG1363	Aminopeptidase YpdE
IDBKNKLP_00197	CDS	2496	fryA_1		COG1080	Multiphosphoryl transfer protein 1
IDBKNKLP_00198	CDS	858	rhaR_1			HTH-type transcriptional activator RhaR
IDBKNKLP_00199	CDS	735	ypdB		COG3279	Transcriptional regulatory protein YpdB
IDBKNKLP_00200	CDS	1698	ypdA	2.7.13.3	COG3275	Sensor histidine kinase YpdA
IDBKNKLP_00201	CDS	1239	alaC	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaC
IDBKNKLP_00202	CDS	921	lpxP	2.3.1.242	COG1560	Lipid A biosynthesis palmitoleoyltransferase
IDBKNKLP_00203	CDS	243				hypothetical protein
IDBKNKLP_00204	CDS	276				hypothetical protein
IDBKNKLP_00205	CDS	633	yfdX			Protein YfdX
IDBKNKLP_00206	CDS	1251	frc	2.8.3.16	COG1804	Formyl-CoA:oxalate CoA-transferase
IDBKNKLP_00207	CDS	1695	oxc	4.1.1.8	COG0028	Oxalyl-CoA decarboxylase
IDBKNKLP_00208	CDS	945				hypothetical protein
IDBKNKLP_00209	CDS	1146	yfdE	2.8.3.19	COG1804	Acetyl-CoA:oxalate CoA-transferase
IDBKNKLP_00210	CDS	3594	evgS	2.7.13.3	COG0784	Sensor protein EvgS
IDBKNKLP_00211	CDS	615	evgA			DNA-binding transcriptional activator EvgA
IDBKNKLP_00212	CDS	1164	emrK		COG1566	putative multidrug resistance protein EmrK
IDBKNKLP_00213	CDS	1539	emrY			putative multidrug resistance protein EmrY
IDBKNKLP_00214	CDS	1329	dsdA	4.3.1.18	COG3048	D-serine dehydratase
IDBKNKLP_00215	CDS	1338	dsdX		COG2610	D-serine transporter DsdX
IDBKNKLP_00216	CDS	936	dsdC		COG0583	HTH-type transcriptional regulator DsdC
IDBKNKLP_00217	tRNA	75				tRNA-Arg(cct)
IDBKNKLP_00218	CDS	933	yfdC		COG2116	Inner membrane protein YfdC
IDBKNKLP_00219	CDS	756	mlaA		COG2853	Intermembrane phospholipid transport system lipoprotein MlaA
IDBKNKLP_00220	CDS	276			COG1662	IS1 family transposase IS1A
IDBKNKLP_00221	CDS	378			COG1662	IS1 family transposase IS1R
IDBKNKLP_00222	CDS	462				hypothetical protein
IDBKNKLP_00223	CDS	114				hypothetical protein
IDBKNKLP_00224	CDS	1341	fadL		COG2067	Long-chain fatty acid transport protein
IDBKNKLP_00225	CDS	285				hypothetical protein
IDBKNKLP_00226	CDS	1311	fadI	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase FadI
IDBKNKLP_00227	CDS	2145	fadJ		COG1024	Fatty acid oxidation complex subunit alpha
IDBKNKLP_00228	CDS	486	sixA	3.1.3.-	COG2062	Phosphohistidine phosphatase SixA
IDBKNKLP_00229	CDS	564	yfcV			putative fimbrial-like protein YfcV
IDBKNKLP_00230	CDS	2646	papC_1		COG3188	Outer membrane usher protein PapC
IDBKNKLP_00231	CDS	753	yfcS		COG3121	putative fimbrial chaperone YfcS
IDBKNKLP_00232	CDS	507	yfcR			putative fimbrial-like protein YfcR
IDBKNKLP_00233	CDS	480	yfcQ			putative fimbrial-like protein YfcQ
IDBKNKLP_00234	CDS	552	yfcP			putative fimbrial-like protein YfcP
IDBKNKLP_00235	CDS	825	yfcO			putative protein YfcO
IDBKNKLP_00236	CDS	552	mutS2	3.1.-.-		Endonuclease MutS2
IDBKNKLP_00237	CDS	933	prmB	2.1.1.298	COG2890	50S ribosomal protein L3 glutamine methyltransferase
IDBKNKLP_00238	CDS	1086	aroC	4.2.3.5	COG0082	Chorismate synthase
IDBKNKLP_00239	CDS	825	mepA	3.4.24.-	COG3770	Penicillin-insensitive murein endopeptidase
IDBKNKLP_00240	CDS	810	yfcA		COG0730	putative membrane transporter protein YfcA
IDBKNKLP_00241	CDS	549	epmC	1.14.-.-	COG3101	Elongation factor P hydroxylase
IDBKNKLP_00242	CDS	279				hypothetical protein
IDBKNKLP_00243	CDS	2007	mnmC		COG0665	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC
IDBKNKLP_00244	CDS	1221	fabB	2.3.1.41	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 1
IDBKNKLP_00245	CDS	1179	yfcJ			putative MFS-type transporter YfcJ
IDBKNKLP_00246	CDS	996	flk			Flagellar regulator flk
IDBKNKLP_00247	CDS	1137	pdxB	1.1.1.290	COG0111	Erythronate-4-phosphate dehydrogenase
IDBKNKLP_00248	CDS	1014	usg		COG0136	USG-1 protein
IDBKNKLP_00249	CDS	813	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
IDBKNKLP_00250	CDS	660	dedA		COG0586	Protein DedA
IDBKNKLP_00251	CDS	915	accD	2.1.3.15	COG0777	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
IDBKNKLP_00252	CDS	1269	folC	6.3.2.12	COG0285	Dihydrofolate synthase/folylpolyglutamate synthase
IDBKNKLP_00253	CDS	663	dedD			Cell division protein DedD
IDBKNKLP_00254	CDS	489	cvpA		COG1286	Colicin V production protein
IDBKNKLP_00255	CDS	1518	purF	2.4.2.14	COG0034	Amidophosphoribosyltransferase
IDBKNKLP_00256	CDS	570	ubiX	2.5.1.129	COG0163	Flavin prenyltransferase UbiX
IDBKNKLP_00257	CDS	783	argT		COG0834	Lysine/arginine/ornithine-binding periplasmic protein
IDBKNKLP_00258	CDS	783	hisJ		COG0834	Histidine-binding periplasmic protein
IDBKNKLP_00259	CDS	687	hisQ		COG4215	Histidine transport system permease protein HisQ
IDBKNKLP_00260	CDS	717	hisM		COG4160	Histidine transport system permease protein HisM
IDBKNKLP_00261	CDS	774	hisP		COG4598	Histidine transport ATP-binding protein HisP
IDBKNKLP_00262	CDS	891				ISNCY family transposase ISRor2
IDBKNKLP_00263	CDS	894				Epimerase family protein
IDBKNKLP_00264	CDS	363	folX	5.1.99.7	COG1539	Dihydroneopterin triphosphate 2'-epimerase
IDBKNKLP_00265	CDS	648	yfcG	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YfcG
IDBKNKLP_00266	CDS	645	yfcF	2.5.1.18	COG0625	Glutathione S-transferase YfcF
IDBKNKLP_00267	CDS	552	yfcE	3.1.4.-	COG0622	Phosphodiesterase YfcE
IDBKNKLP_00268	CDS	543	yfcD	3.6.-.-		putative Nudix hydrolase YfcD
IDBKNKLP_00269	CDS	1479				hypothetical protein
IDBKNKLP_00270	CDS	2145	pta	2.3.1.8	COG0280	Phosphate acetyltransferase
IDBKNKLP_00271	CDS	1203	ackA	2.7.2.1	COG0282	Acetate kinase
IDBKNKLP_00272	CDS	456				hypothetical protein
IDBKNKLP_00273	CDS	495				hypothetical protein
IDBKNKLP_00274	CDS	651	hxpA	3.1.3.22	COG0637	Hexitol phosphatase A
IDBKNKLP_00275	CDS	1833				hypothetical protein
IDBKNKLP_00276	CDS	600	yfbR	3.1.3.89	COG1896	5'-deoxynucleotidase YfbR
IDBKNKLP_00277	CDS	1218	alaA	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaA
IDBKNKLP_00278	CDS	939	hdfR_1			HTH-type transcriptional regulator HdfR
IDBKNKLP_00279	CDS	165				hypothetical protein
IDBKNKLP_00280	CDS	444	ndhC	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 3
IDBKNKLP_00281	CDS	663	nuoB	7.1.1.-	COG0377	NADH-quinone oxidoreductase subunit B
IDBKNKLP_00282	CDS	1803	nuoC	7.1.1.-	COG0649	NADH-quinone oxidoreductase subunit C/D
IDBKNKLP_00283	CDS	501	nuoE	7.1.1.-	COG1905	NADH-quinone oxidoreductase subunit E
IDBKNKLP_00284	CDS	1338	nuoF	7.1.1.-	COG1894	NADH-quinone oxidoreductase subunit F
IDBKNKLP_00285	CDS	2727	nuoG	7.1.1.-	COG1034	NADH-quinone oxidoreductase subunit G
IDBKNKLP_00286	CDS	978	nuoH	7.1.1.-	COG1005	NADH-quinone oxidoreductase subunit H
IDBKNKLP_00287	CDS	543	nuoI	7.1.1.-	COG1143	NADH-quinone oxidoreductase subunit I
IDBKNKLP_00288	CDS	555	nuoJ	7.1.1.-	COG0839	NADH-quinone oxidoreductase subunit J
IDBKNKLP_00289	CDS	303	nuoK	7.1.1.-	COG0713	NADH-quinone oxidoreductase subunit K
IDBKNKLP_00290	CDS	1842	nuoL	7.1.1.-	COG1009	NADH-quinone oxidoreductase subunit L
IDBKNKLP_00291	CDS	1530	nuoM	7.1.1.-	COG1008	NADH-quinone oxidoreductase subunit M
IDBKNKLP_00292	CDS	1458	nuoN	7.1.1.-	COG1007	NADH-quinone oxidoreductase subunit N
IDBKNKLP_00293	CDS	840				IS3 family transposase ISEcB1
IDBKNKLP_00294	CDS	522				IS3 family transposase ISEcB1
IDBKNKLP_00295	CDS	504	yfbM			Protein YfbM
IDBKNKLP_00296	CDS	1209	elaD	3.4.22.-		Protease ElaD
IDBKNKLP_00297	CDS	918	rbn	3.1.-.-	COG1234	Ribonuclease BN
IDBKNKLP_00298	CDS	462	elaA		COG2153	Protein ElaA
IDBKNKLP_00299	CDS	306	elaB		COG4575	Protein ElaB
IDBKNKLP_00300	CDS	1296	menF	5.4.4.2	COG1169	Isochorismate synthase MenF
IDBKNKLP_00301	CDS	1671	menD	2.2.1.9	COG1165	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
IDBKNKLP_00302	CDS	759	menH	4.2.99.20	COG0596	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
IDBKNKLP_00303	CDS	858	menB	4.1.3.36	COG0447	1,4-dihydroxy-2-naphthoyl-CoA synthase
IDBKNKLP_00304	CDS	963	menC	4.2.1.113	COG1441	o-succinylbenzoate synthase
IDBKNKLP_00305	CDS	1356	menE	6.2.1.26	COG0318	2-succinylbenzoate--CoA ligase
IDBKNKLP_00306	CDS	267	pmrD			Signal transduction protein PmrD
IDBKNKLP_00307	CDS	387	arnF		COG0697	putative 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnF
IDBKNKLP_00308	CDS	336	arnE		COG0697	putative 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE
IDBKNKLP_00309	CDS	1653	arnT	2.4.2.43	COG1807	Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase
