locus_tag	ftype	length_bp	gene	EC_number	COG	product
APGBGNDD_00066	CDS	849			COG1307	DegV domain-containing protein
APGBGNDD_00067	CDS	375				hypothetical protein
APGBGNDD_00068	CDS	1353	glmM	5.4.2.10	COG1109	Phosphoglucosamine mutase
APGBGNDD_00069	CDS	780				hypothetical protein
APGBGNDD_00070	CDS	858	cdaA	2.7.7.85	COG1624	Cyclic di-AMP synthase CdaA
APGBGNDD_00071	CDS	969	yumC	1.18.1.2	COG0492	Ferredoxin--NADP reductase 2
APGBGNDD_00072	CDS	912	whiA		COG1481	putative cell division protein WhiA
APGBGNDD_00073	CDS	978			COG0391	Putative gluconeogenesis factor
APGBGNDD_00074	CDS	891	yvcJ		COG1660	Nucleotide-binding protein YvcJ
APGBGNDD_00075	CDS	381	yabJ	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
APGBGNDD_00076	CDS	588	engB		COG0218	putative GTP-binding protein EngB
APGBGNDD_00077	CDS	1233	clpX			ATP-dependent Clp protease ATP-binding subunit ClpX
APGBGNDD_00078	CDS	171				hypothetical protein
APGBGNDD_00079	CDS	507	dhfR	1.5.1.3	COG0262	Dihydrofolate reductase
APGBGNDD_00080	CDS	519	dps	1.16.-.-	COG0783	DNA protection during starvation protein
APGBGNDD_00081	CDS	1506				hypothetical protein
APGBGNDD_00082	CDS	759	tpiA	5.3.1.1	COG0149	Triosephosphate isomerase
APGBGNDD_00083	CDS	678	dnaD		COG3935	DNA replication protein DnaD
APGBGNDD_00084	CDS	945	metAA	2.3.1.31	COG1897	Homoserine O-acetyltransferase
APGBGNDD_00085	CDS	513	apt	2.4.2.7	COG0503	Adenine phosphoribosyltransferase
APGBGNDD_00086	CDS	759				hypothetical protein
APGBGNDD_00087	CDS	1131	msmX	7.5.2.-	COG3839	Oligosaccharides import ATP-binding protein MsmX
APGBGNDD_00088	tRNA	88				tRNA-Leu(aag)
APGBGNDD_00089	CDS	576				hypothetical protein
APGBGNDD_00090	CDS	789	codY		COG4465	GTP-sensing transcriptional pleiotropic repressor CodY
APGBGNDD_00091	CDS	1230	arcA	3.5.3.6	COG2235	Arginine deiminase
APGBGNDD_00092	CDS	1017	arcB	2.1.3.3		Ornithine carbamoyltransferase, catabolic
APGBGNDD_00093	CDS	948	arcC1	2.7.2.2		Carbamate kinase 1
APGBGNDD_00094	CDS	1512				hypothetical protein
APGBGNDD_00095	CDS	1332		3.4.13.-		Putative dipeptidase
APGBGNDD_00096	CDS	291				hypothetical protein
APGBGNDD_00097	CDS	900	qmcA		COG0330	Protein QmcA
APGBGNDD_00098	CDS	1152	adhB	1.1.1.1		Alcohol dehydrogenase 2
APGBGNDD_00099	CDS	1767	fucI	5.3.1.25	COG2407	L-fucose isomerase
APGBGNDD_00100	CDS	1134				hypothetical protein
APGBGNDD_00101	CDS	1947	eabC	3.2.1.102		Blood-group-substance endo-1,4-beta-galactosidase
APGBGNDD_00102	CDS	2295				hypothetical protein
APGBGNDD_00103	CDS	801	manZ_1		COG3716	PTS system mannose-specific EIID component
APGBGNDD_00104	CDS	774	sorC_1		COG3715	PTS system sorbose-specific EIIC component
APGBGNDD_00105	CDS	471	levE_1	2.7.1.202	COG3444	PTS system fructose-specific EIIB component
APGBGNDD_00106	CDS	444	manX_1	2.7.1.191		PTS system mannose-specific EIIAB component
APGBGNDD_00107	CDS	441	fucU	5.1.3.29	COG4154	L-fucose mutarotase
APGBGNDD_00108	CDS	639	drdA	4.1.2.-		5-deoxy-D-ribulose 1-phosphate aldolase
APGBGNDD_00109	CDS	1404	rhaB	2.7.1.5	COG1070	L-Rhamnulokinase
APGBGNDD_00110	CDS	774	srlR		COG1349	Glucitol operon repressor
APGBGNDD_00111	CDS	1506				hypothetical protein
APGBGNDD_00112	CDS	807	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
APGBGNDD_00113	CDS	705	znuC	7.2.2.-	COG1121	High-affinity zinc uptake system ATP-binding protein ZnuC
APGBGNDD_00114	CDS	441	adcR			Transcriptional regulator AdcR
APGBGNDD_00115	CDS	1269	dltD		COG3966	Protein DltD
APGBGNDD_00116	CDS	240	dltC		COG0236	D-alanyl carrier protein
APGBGNDD_00117	CDS	1245				hypothetical protein
APGBGNDD_00118	CDS	1551	dltA	6.2.1.54		D-alanine--D-alanyl carrier protein ligase
APGBGNDD_00119	CDS	1179				hypothetical protein
APGBGNDD_00120	CDS	1278				hypothetical protein
APGBGNDD_00121	CDS	198				hypothetical protein
APGBGNDD_00122	CDS	345				hypothetical protein
APGBGNDD_00123	CDS	261				hypothetical protein
APGBGNDD_00124	CDS	705	glpF		COG0580	putative glycerol uptake facilitator protein
APGBGNDD_00125	CDS	1827	glpO	1.1.3.21	COG0578	Alpha-glycerophosphate oxidase
APGBGNDD_00126	CDS	1509	glpK	2.7.1.30	COG0554	Glycerol kinase
APGBGNDD_00127	CDS	1410				hypothetical protein
APGBGNDD_00128	CDS	873	hslO			33 kDa chaperonin
APGBGNDD_00129	CDS	981	dusB	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
APGBGNDD_00130	CDS	2178				hypothetical protein
APGBGNDD_00131	CDS	528				hypothetical protein
APGBGNDD_00132	CDS	1341				hypothetical protein
APGBGNDD_00133	CDS	654	phoB		COG0745	Phosphate regulon transcriptional regulatory protein PhoB
APGBGNDD_00134	CDS	2433	clpC_1			ATP-dependent Clp protease ATP-binding subunit ClpC
APGBGNDD_00135	CDS	459	ctsR		COG4463	Transcriptional regulator CtsR
APGBGNDD_00136	CDS	729	cysA	7.3.2.3	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
APGBGNDD_00137	CDS	1008	thiY		COG0715	Formylaminopyrimidine-binding protein
APGBGNDD_00138	CDS	759	ribX			Riboflavin transport system permease protein RibX
APGBGNDD_00139	CDS	291				hypothetical protein
APGBGNDD_00140	CDS	1347				hypothetical protein
APGBGNDD_00141	CDS	267				hypothetical protein
APGBGNDD_00142	CDS	1353	dnaC	3.6.4.12	COG0305	Replicative DNA helicase
APGBGNDD_00143	CDS	453	rplI			50S ribosomal protein L9
APGBGNDD_00144	CDS	1974	gdpP	3.1.4.59	COG3887	Cyclic-di-AMP phosphodiesterase GdpP
APGBGNDD_00145	CDS	549	hpf			Ribosome hibernation promotion factor
APGBGNDD_00146	CDS	663				hypothetical protein
APGBGNDD_00147	CDS	1299	comFA	3.6.4.12	COG4098	ComF operon protein 1
APGBGNDD_00148	CDS	636	yigZ		COG1739	IMPACT family member YigZ
APGBGNDD_00149	CDS	921	cysK	2.5.1.47		Cysteine synthase
APGBGNDD_00150	CDS	399				hypothetical protein
APGBGNDD_00151	CDS	288				hypothetical protein
APGBGNDD_00152	CDS	1041	tsf		COG0264	Elongation factor Ts
APGBGNDD_00153	CDS	780	rpsB			30S ribosomal protein S2
APGBGNDD_00154	CDS	1179				hypothetical protein
APGBGNDD_00155	CDS	495				hypothetical protein
APGBGNDD_00156	CDS	819	mreC		COG1792	Cell shape-determining protein MreC
APGBGNDD_00157	CDS	795	ecfT_1		COG0619	Energy-coupling factor transporter transmembrane protein EcfT
APGBGNDD_00158	CDS	840	ecfA2	3.6.3.-	COG1122	Energy-coupling factor transporter ATP-binding protein EcfA2
APGBGNDD_00159	CDS	828	ecfA1	7.-.-.-	COG1122	Energy-coupling factor transporter ATP-binding protein EcfA1
APGBGNDD_00160	CDS	546	pgsA	2.7.8.5		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
APGBGNDD_00161	CDS	822				hypothetical protein
APGBGNDD_00162	CDS	1284				hypothetical protein
APGBGNDD_00163	CDS	1251				hypothetical protein
APGBGNDD_00164	CDS	369				hypothetical protein
APGBGNDD_00165	CDS	1098	recF		COG1195	DNA replication and repair protein RecF
APGBGNDD_00166	CDS	1479	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
APGBGNDD_00167	CDS	1026	trpS2	6.1.1.2	COG0180	Tryptophan--tRNA ligase 2
APGBGNDD_00168	CDS	210				hypothetical protein
APGBGNDD_00169	CDS	489				hypothetical protein
APGBGNDD_00170	CDS	1461	pncB2	6.3.4.21	COG1488	Nicotinate phosphoribosyltransferase pncB2
APGBGNDD_00171	CDS	825	nadE	6.3.1.5	COG0171	NH(3)-dependent NAD(+) synthetase
APGBGNDD_00172	CDS	552				hypothetical protein
APGBGNDD_00173	CDS	102				hypothetical protein
APGBGNDD_00174	CDS	372				hypothetical protein
APGBGNDD_00175	CDS	1029	queA	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
APGBGNDD_00176	CDS	708	nagB	3.5.99.6	COG0363	Glucosamine-6-phosphate deaminase
APGBGNDD_00177	CDS	510				hypothetical protein
APGBGNDD_00178	CDS	177	rpsU		COG0828	30S ribosomal protein S21
APGBGNDD_00179	CDS	936	hprK	2.7.11.-	COG1493	HPr kinase/phosphorylase
APGBGNDD_00180	CDS	789	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
APGBGNDD_00181	CDS	384				hypothetical protein
APGBGNDD_00182	CDS	390				hypothetical protein
APGBGNDD_00183	CDS	1131	hemW		COG0635	Heme chaperone HemW
APGBGNDD_00184	CDS	738				hypothetical protein
APGBGNDD_00185	CDS	774	yutF	3.1.3.-	COG0647	Acid sugar phosphatase
APGBGNDD_00186	CDS	618				hypothetical protein
APGBGNDD_00187	CDS	402	spxA_1		COG1393	Regulatory protein Spx
APGBGNDD_00188	CDS	279				hypothetical protein
APGBGNDD_00189	CDS	774	suhB	3.1.3.11	COG0483	Fructose-1,6-bisphosphatase/inositol-1-monophosphatase
APGBGNDD_00190	CDS	1305	rsmF	2.1.1.-	COG0144	Ribosomal RNA small subunit methyltransferase F
APGBGNDD_00191	CDS	114				hypothetical protein
APGBGNDD_00192	CDS	879	pstS1		COG0226	Phosphate-binding protein PstS 1
APGBGNDD_00193	CDS	918	pstC		COG0573	Phosphate transport system permease protein PstC
APGBGNDD_00194	CDS	885				hypothetical protein
APGBGNDD_00195	CDS	804	pstB3_1	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB 3
APGBGNDD_00196	CDS	759	pstB3_2	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB 3
APGBGNDD_00197	CDS	654	phoU_1		COG0704	Phosphate-specific transport system accessory protein PhoU 
APGBGNDD_00198	CDS	816	glnH_1		COG0834	Glutamine-binding periplasmic protein
APGBGNDD_00199	CDS	1272	gabR		COG1167	HTH-type transcriptional regulatory protein GabR
APGBGNDD_00200	CDS	672	aldC	4.1.1.5	COG3527	Alpha-acetolactate decarboxylase
APGBGNDD_00201	CDS	207				hypothetical protein
APGBGNDD_00202	CDS	510				hypothetical protein
APGBGNDD_00203	CDS	906	murB	1.3.1.98		UDP-N-acetylenolpyruvoylglucosamine reductase
APGBGNDD_00204	CDS	1158	potA	7.6.2.11		Spermidine/putrescine import ATP-binding protein PotA
APGBGNDD_00205	CDS	807	potB		COG1176	Spermidine/putrescine transport system permease protein PotB
APGBGNDD_00206	CDS	774	ydcV			Inner membrane ABC transporter permease protein YdcV
APGBGNDD_00207	CDS	1071	potD		COG0687	Spermidine/putrescine-binding periplasmic protein
APGBGNDD_00208	CDS	486				hypothetical protein
APGBGNDD_00209	CDS	2619	alaS	6.1.1.7		Alanine--tRNA ligase
APGBGNDD_00210	CDS	1455	amyS	3.2.1.1		Alpha-amylase
APGBGNDD_00211	CDS	750	ecsA_1		COG1131	ABC-type transporter ATP-binding protein EcsA
APGBGNDD_00212	CDS	1635				hypothetical protein
APGBGNDD_00213	CDS	1164	rlmI	2.1.1.191	COG1092	Ribosomal RNA large subunit methyltransferase I
APGBGNDD_00214	CDS	678	aroD	4.2.1.10	COG0710	3-dehydroquinate dehydratase
APGBGNDD_00215	CDS	855	aroE	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
APGBGNDD_00216	CDS	1068	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
APGBGNDD_00217	CDS	1167	aroC	4.2.3.5	COG0082	Chorismate synthase
APGBGNDD_00218	CDS	1104				hypothetical protein
APGBGNDD_00219	CDS	339				hypothetical protein
APGBGNDD_00220	CDS	1284	aroA	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
APGBGNDD_00221	CDS	477	aroL	2.7.1.71		Shikimate kinase 2
APGBGNDD_00222	CDS	849	pheA			Bifunctional chorismate mutase/prephenate dehydratase
APGBGNDD_00223	CDS	1275				hypothetical protein
APGBGNDD_00224	CDS	837				hypothetical protein
APGBGNDD_00225	CDS	1104	pglJ	2.4.1.291	COG0438	N-acetylgalactosamine-N,N'-diacetylbacillosaminyl-diphospho-undecaprenol 4-alpha-N-acetylgalactosaminyltransferase
APGBGNDD_00226	CDS	987	glyG			Glycosyltransferase GlyG
APGBGNDD_00227	CDS	1434				hypothetical protein
APGBGNDD_00228	CDS	1035				hypothetical protein
APGBGNDD_00229	CDS	738	mecA		COG4862	Adapter protein MecA
APGBGNDD_00230	CDS	1287	hom	1.1.1.3	COG0460	Homoserine dehydrogenase
APGBGNDD_00231	CDS	870	thrB	2.7.1.39	COG0083	Homoserine kinase
APGBGNDD_00232	CDS	939	msrAB1		COG0225	Peptide methionine sulfoxide reductase MsrA/MsrB 1
APGBGNDD_00233	CDS	1725			COG1132	putative ABC transporter ATP-binding protein
APGBGNDD_00234	CDS	1749		7.6.2.-	COG1132	Fatty acid ABC transporter ATP-binding/permease protein
APGBGNDD_00235	CDS	1260	mtaD	3.5.4.28	COG0402	5-methylthioadenosine/S-adenosylhomocysteine deaminase
APGBGNDD_00236	CDS	2259	malP	2.4.1.1	COG0058	Maltodextrin phosphorylase
APGBGNDD_00237	CDS	1518	malQ	2.4.1.25	COG1640	4-alpha-glucanotransferase
APGBGNDD_00238	CDS	1272	malX		COG2182	Maltose/maltodextrin-binding protein
APGBGNDD_00239	CDS	1293				hypothetical protein
APGBGNDD_00240	CDS	843	malG		COG3833	Maltose/maltodextrin transport system permease protein MalG
APGBGNDD_00241	CDS	108				hypothetical protein
APGBGNDD_00242	CDS	411				hypothetical protein
APGBGNDD_00243	CDS	552				hypothetical protein
APGBGNDD_00244	CDS	852				hypothetical protein
APGBGNDD_00245	CDS	351				hypothetical protein
APGBGNDD_00246	CDS	222				hypothetical protein
APGBGNDD_00247	CDS	156				hypothetical protein
APGBGNDD_00248	CDS	537				hypothetical protein
APGBGNDD_00249	CDS	288				hypothetical protein
APGBGNDD_00250	CDS	861				hypothetical protein
APGBGNDD_00251	CDS	282				hypothetical protein
APGBGNDD_00252	CDS	252				hypothetical protein
APGBGNDD_00253	CDS	216				hypothetical protein
APGBGNDD_00254	CDS	201				hypothetical protein
APGBGNDD_00255	CDS	261				hypothetical protein
APGBGNDD_00256	CDS	603				hypothetical protein
APGBGNDD_00257	CDS	198				hypothetical protein
APGBGNDD_00258	CDS	522				hypothetical protein
APGBGNDD_00259	CDS	270				hypothetical protein
APGBGNDD_00260	CDS	540				hypothetical protein
APGBGNDD_00261	CDS	669				hypothetical protein
APGBGNDD_00262	CDS	975				hypothetical protein
APGBGNDD_00263	CDS	1167				hypothetical protein
APGBGNDD_00264	CDS	801				hypothetical protein
APGBGNDD_00265	CDS	987	malR		COG1609	HTH-type transcriptional regulator MalR
APGBGNDD_00266	CDS	942				hypothetical protein
APGBGNDD_00267	CDS	1764	aspS	6.1.1.12		Aspartate--tRNA ligase
APGBGNDD_00268	CDS	192				hypothetical protein
APGBGNDD_00269	CDS	231				hypothetical protein
APGBGNDD_00270	CDS	642				hypothetical protein
APGBGNDD_00271	CDS	735				hypothetical protein
APGBGNDD_00272	CDS	198				hypothetical protein
APGBGNDD_00273	CDS	216				hypothetical protein
APGBGNDD_00274	CDS	315				hypothetical protein
APGBGNDD_00275	CDS	1290	hisS	6.1.1.21		Histidine--tRNA ligase
APGBGNDD_00276	CDS	1230				hypothetical protein
APGBGNDD_00277	CDS	852				hypothetical protein
APGBGNDD_00278	CDS	342				hypothetical protein
APGBGNDD_00279	CDS	1704	ilvD	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
APGBGNDD_00280	CDS	933	aptB	2.2.1.-	COG3958	Apulose-4-phosphate transketolase subunit B
APGBGNDD_00281	CDS	858	aptA	2.2.1.-	COG3959	Apulose-4-phosphate transketolase subunit A
APGBGNDD_00282	CDS	1347	ulaA_1		COG3037	Ascorbate-specific PTS system EIIC component
APGBGNDD_00283	CDS	285				hypothetical protein
APGBGNDD_00284	CDS	2031				hypothetical protein
APGBGNDD_00285	CDS	1008				hypothetical protein
APGBGNDD_00286	CDS	201				hypothetical protein
APGBGNDD_00287	CDS	183	rpmF		COG0333	50S ribosomal protein L32
APGBGNDD_00288	CDS	150	rpmGA			50S ribosomal protein L33 1
APGBGNDD_00289	CDS	1866				hypothetical protein
APGBGNDD_00290	CDS	183				hypothetical protein
APGBGNDD_00291	CDS	435				hypothetical protein
APGBGNDD_00292	CDS	393			COG3039	IS5 family transposase ISSpn7
APGBGNDD_00293	CDS	138				hypothetical protein
APGBGNDD_00294	CDS	1881				hypothetical protein
APGBGNDD_00295	CDS	882	bglK_1	2.7.1.85	COG1940	Beta-glucoside kinase
APGBGNDD_00296	CDS	2646	mngB	3.2.1.-	COG0383	Mannosylglycerate hydrolase
APGBGNDD_00297	CDS	1281				hypothetical protein
APGBGNDD_00298	CDS	2085				hypothetical protein
APGBGNDD_00299	CDS	1680				hypothetical protein
APGBGNDD_00300	CDS	336				hypothetical protein
APGBGNDD_00301	CDS	909				hypothetical protein
APGBGNDD_00302	CDS	462	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
APGBGNDD_00303	CDS	888	rluD_1	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
APGBGNDD_00304	CDS	1884				hypothetical protein
APGBGNDD_00305	CDS	1110	proB	2.7.2.11	COG0263	Glutamate 5-kinase 1
APGBGNDD_00306	CDS	1263	proA	1.2.1.41	COG0014	Gamma-glutamyl phosphate reductase
APGBGNDD_00307	CDS	798	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
APGBGNDD_00308	CDS	639	tmk	2.7.4.9	COG0125	Thymidylate kinase
APGBGNDD_00309	CDS	891				hypothetical protein
APGBGNDD_00310	CDS	318	yabA		COG4467	Initiation-control protein YabA
APGBGNDD_00311	CDS	879	rsmI	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
APGBGNDD_00312	CDS	1371	trmFO	2.1.1.74	COG1206	Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO
APGBGNDD_00313	CDS	738	pyrH	2.7.4.22	COG0528	Uridylate kinase
APGBGNDD_00314	CDS	558	frr			Ribosome-recycling factor
APGBGNDD_00315	CDS	855	cvfB			Conserved virulence factor B
APGBGNDD_00316	CDS	216				hypothetical protein
APGBGNDD_00317	CDS	969			COG1702	PhoH-like protein
APGBGNDD_00318	CDS	501				hypothetical protein
APGBGNDD_00319	CDS	228				hypothetical protein
APGBGNDD_00320	CDS	276	ald_1	1.4.1.1	COG0686	Alanine dehydrogenase
APGBGNDD_00321	CDS	426	ald_2	1.4.1.1	COG0686	Alanine dehydrogenase
APGBGNDD_00322	CDS	570		2.3.1.-	COG1670	Acetyltransferase
APGBGNDD_00323	CDS	651	comEA		COG1555	ComE operon protein 1
APGBGNDD_00324	CDS	2241	comEC		COG0658	ComE operon protein 3
APGBGNDD_00325	CDS	588	natA	7.2.2.4	COG4555	ABC transporter ATP-binding protein NatA
APGBGNDD_00326	CDS	1182				hypothetical protein
APGBGNDD_00327	CDS	588	infC		COG0290	Translation initiation factor IF-3
APGBGNDD_00328	CDS	201	rpmI		COG0291	50S ribosomal protein L35
APGBGNDD_00329	CDS	360	rplT		COG0292	50S ribosomal protein L20
APGBGNDD_00330	CDS	381	gloA	4.4.1.5	COG0346	Lactoylglutathione lyase
APGBGNDD_00331	CDS	801	pyrK		COG0543	Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit
APGBGNDD_00332	CDS	939	pyrDB	1.3.1.14	COG0167	Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit
APGBGNDD_00333	CDS	1977	lytB	3.2.1.96	COG4193	Putative endo-beta-N-acetylglucosaminidase
APGBGNDD_00334	CDS	1656	rqcH		COG1293	Rqc2 RqcH
APGBGNDD_00335	CDS	498				hypothetical protein
APGBGNDD_00336	CDS	396	dgkA	2.7.1.66	COG0818	Undecaprenol kinase
APGBGNDD_00337	CDS	900	era		COG1159	GTPase Era
APGBGNDD_00338	CDS	858	mutM	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
APGBGNDD_00339	CDS	606	coaE	2.7.1.24		Dephospho-CoA kinase
APGBGNDD_00340	CDS	1200	sbnD			Staphyloferrin B transporter
APGBGNDD_00341	CDS	234	secG		COG1314	putative protein-export membrane protein SecG
APGBGNDD_00342	CDS	2355	rnr	3.1.13.1	COG0557	Ribonuclease R
APGBGNDD_00343	CDS	468	smpB		COG0691	SsrA-binding protein
APGBGNDD_00344	CDS	861	tehB	2.1.1.-	COG0500	putative S-adenosyl-L-methionine-dependent methyltransferase TehB
APGBGNDD_00345	CDS	954				hypothetical protein
APGBGNDD_00346	CDS	1812	pepF1_1	3.4.24.-		Oligoendopeptidase F, plasmid
APGBGNDD_00347	CDS	714	trmR	2.1.1.-	COG4122	tRNA 5-hydroxyuridine methyltransferase
APGBGNDD_00348	CDS	942	prsA	5.2.1.8		Foldase protein PrsA
APGBGNDD_00349	CDS	342				IS3 family transposase ISSpn1
APGBGNDD_00350	CDS	135				hypothetical protein
APGBGNDD_00351	CDS	621	pspB	3.1.3.3	COG0406	Putative phosphoserine phosphatase 2
APGBGNDD_00352	CDS	483				hypothetical protein
APGBGNDD_00353	CDS	843				hypothetical protein
APGBGNDD_00354	CDS	801				hypothetical protein
APGBGNDD_00355	CDS	1380	glmU		COG1207	Bifunctional protein GlmU
APGBGNDD_00356	CDS	546	nudF	3.6.1.13	COG0494	ADP-ribose pyrophosphatase
APGBGNDD_00357	CDS	315				hypothetical protein
APGBGNDD_00358	CDS	693	mtnN	3.2.2.9	COG0775	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
APGBGNDD_00359	CDS	492				putative protein
APGBGNDD_00360	CDS	591				hypothetical protein
APGBGNDD_00361	CDS	1764				hypothetical protein
APGBGNDD_00362	CDS	330				IS630 family transposase IS630-Spn1
APGBGNDD_00363	CDS	405				hypothetical protein
APGBGNDD_00364	CDS	459				hypothetical protein
APGBGNDD_00365	CDS	441			COG3279	putative HTH-type transcriptional regulator
APGBGNDD_00366	CDS	1950	mutL		COG0323	DNA mismatch repair protein MutL
